2017-06-24T17:40:45-04:00 - 1 + 2 = 3
2017-06-24T17:40:45-04:00 - 1 + 3 = 4
2017-06-24T17:40:45-04:00 - 1 + 4 = 5
2017-06-24T17:40:45-04:00 - 1 + 5 = 6
2017-06-24T17:40:45-04:00 - 1 + 6 = 7
2017-06-24T17:40:45-04:00 - 1 + 7 = 8
2017-06-24T17:40:45-04:00 - 1 + 8 = 9
2017-06-24T17:40:45-04:00 - 1 + 9 = 10
2017-06-24T17:40:45-04:00 - 2 + 10 = 12
2017-06-24T17:40:45-04:00 - 2 + 2 = 4
2017-06-24T17:40:45-04:00 - 2 + 3 = 5
2017-06-24T17:40:45-04:00 - 2 + 4 = 6
2017-06-24T17:40:45-04:00 - 2 + 5 = 7
2017-06-24T17:40:45-04:00 - 2 + 6 = 8
2017-06-24T17:40:45-04:00 - 2 + 7 = 9
2017-06-24T17:40:45-04:00 - 2 + 8 = 10
2017-06-24T17:40:45-04:00 - 2 + 9 = 11
2017-06-24T17:40:45-04:00 - 3 + 10 = 13
2017-06-24T17:40:45-04:00 - 3 + 2 = 5
2017-06-24T17:40:45-04:00 - 3 + 3 = 6
2017-06-24T17:40:45-04:00 - 3 + 4 = 7
2017-06-24T17:40:45-04:00 - 3 + 5 = 8
2017-06-24T17:40:45-04:00 - 3 + 6 = 9
2017-06-24T17:40:45-04:00 - 3 + 7 = 10
2017-06-24T17:40:45-04:00 - 3 + 8 = 11
2017-06-24T17:40:45-04:00 - 3 + 9 = 12
2017-06-24T17:40:45-04:00 - 4 + 10 = 14
2017-06-24T17:40:45-04:00 - 4 + 2 = 6
2017-06-24T17:40:45-04:00 - 4 + 3 = 7
2017-06-24T17:40:45-04:00 - 4 + 4 = 8
